"","Gender_D","Age_D","Race_or_Ethnicity_D","Education_D","Observed_Rate","Background_Rate","EquityValue","user_n","pValue","BH_p"
"1","Female",NA,NA,NA,0.385523363574285,0.44518671450142,-0.246031253450676,3952,5.41233369764778e-34,5.41233369764778e-34
"2","Male",NA,NA,NA,0.614476636425715,0.55481328549858,0.246031253450676,6299,5.41233369764778e-34,5.41233369764778e-34
"3",NA,"18-44",NA,NA,0.00253633791825188,0.146745610686163,-4.21413725900191,26,0,0
"4",NA,"45-64",NA,NA,0.65564335186811,0.446874769904951,0.857245115245651,6721,0,0
"5",NA,"64+",NA,NA,0.341820310213638,0.406379619408885,-0.276240509341911,3504,2.0722227570846e-40,2.0722227570846e-40
"6",NA,NA,"Hispanic",NA,0.0718954248366013,0.184799718533976,-1.07377059374396,737,1.19646483990627e-190,4.7858593596251e-190
"7",NA,NA,"NH Black",NA,0.190517998244074,0.14580177114058,0.321267447698186,1953,1.13037623585255e-37,2.2607524717051e-37
"8",NA,NA,"NH White",NA,0.623646473514779,0.569263339046587,0.226208497865401,6393,1.00848056014837e-28,1.3446407468645e-28
"9",NA,NA,"Other",NA,0.113940103404546,0.100135171278857,0.144611925585385,1168,3.22035276435675e-06,3.22035276435675e-06
"10",NA,NA,NA,"<HSG",0.148477157360406,0.215576058260301,-0.454959371795395,1521,2.86896089869791e-61,1.14758435947916e-60
"11",NA,NA,NA,">=College grad",0.259859429910191,0.233837669048589,0.14006761786287,2662,4.89789978888112e-10,6.5305330518415e-10
"12",NA,NA,NA,"HSG/GED",0.263959390862944,0.20912011419358,0.304747285388496,2704,2.07109297650238e-42,4.14218595300476e-42
"13",NA,NA,NA,"Some college/TS",0.327704021866458,0.34146615849753,-0.0618205243592572,3357,0.0033101533176839,0.0033101533176839
"14","Female",NA,"Hispanic",NA,0.0349234221051605,0.0894726137972847,-0.998958339369618,358,2.04036379776712e-83,1.02018189888356e-82
"15","Female",NA,"NH Black",NA,0.0951126719344454,0.078749708634488,0.206708954578467,975,7.7091911615343e-10,1.10131302307633e-09
"16","Female",NA,"NH White",NA,0.2106135986733,0.234784331017087,-0.139740405849059,2159,7.75970402384658e-09,9.69963002980823e-09
"17","Female",NA,"Other",NA,0.0448736708613794,0.042180065272033,0.0647196923457014,460,0.174839081094329,0.174839081094329
"18","Male",NA,"Hispanic",NA,0.0369720027314408,0.095327097623843,-1.00966220700661,379,5.02405535119456e-90,5.02405535119456e-89
