"","TC_L","FPG_L","Observed_Rate","Background_Rate","EquityValue","user_n","pValue","BH_p"
"1","High TC",NA,0.30433503334641,0.254701182675441,0.2469552129075,3103,1.27366929175406e-30,1.27366929175432e-30
"2","Normal TC",NA,0.69566496665359,0.745298817324559,-0.2469552129075,7093,1.27366929175432e-30,1.27366929175432e-30
"3",NA,"Glucose 100-125",0.107275936458129,0.21761208917133,-0.839236576469904,1094,1.33834238649849e-160,2.00751357974773e-160
"4",NA,"Glucose<100",0.0588350656991567,0.098424333188499,-0.557524455724988,600,4.55949931308791e-41,4.55949931308791e-41
"5",NA,"Glucose>=126",0.833888997842714,0.683963577640171,0.841396845246381,8504,1.29481935537745e-232,3.88445806613236e-232
"6","High TC","Glucose 100-125",0.0247155747351903,0.0750861634235417,-1.16423126191784,252,5.35231354516849e-83,2.14092541806739e-82
"7","High TC","Glucose<100",0.0119654766575128,0.0193287725317815,-0.487049608894648,122,6.65045350926398e-08,6.65045350926398e-08
"8","High TC","Glucose>=126",0.267653981953707,0.160286246720118,0.649541734724759,2729,6.34031576276399e-192,5.07225261021119e-191
"9","Normal TC","Glucose 100-125",0.0825814044723421,0.141282098704853,-0.603097451287761,842,6.11794627670423e-65,1.63145234045446e-64
"10","Normal TC","Glucose<100",0.046881129854845,0.0813073317323506,-0.587408929477384,478,4.63569933895254e-37,9.27139867790508e-37
"11","Normal TC","Glucose>=126",0.566202432326403,0.522709386887356,0.175473590352667,5773,1.46248186072515e-18,1.67140784082874e-18
