"","SBP_R","BMI_R","Smoker_R","Observed_Rate","Background_Rate","EquityValue","user_n","pValue","BH_p"
"1","SBP 120-129",NA,NA,0.192356687898089,0.240591959687223,-0.285332267386361,1963,4.19605139053666e-30,4.19605139053666e-30
"2","SBP 130-139",NA,NA,0.253307202351788,0.166304237752806,0.530998812145956,2585,3.5085862323182e-123,4.67811497642427e-123
"3","SBP<120",NA,NA,0.157275845173934,0.32282089308255,-0.93780030789861,1605,3.52086079177311e-280,1.40834431670924e-279
"4","SBP>=140",NA,NA,0.397060264576188,0.270282909477421,0.575458507120377,4052,7.21362208125477e-183,1.44272441625095e-182
"5",NA,"Normal weight",NA,0.0837481698389458,0.105594886756365,-0.255928062742634,858,6.22882048569123e-13,1.24576409713825e-12
"6",NA,"Obese",NA,0.626842362127867,0.614056356680458,0.0542987879361596,6422,0.00785062628255617,0.00785062628255617
"7",NA,"Overweight",NA,0.289116642264519,0.276532232330103,0.0620504583382766,2962,0.0044025411133366,0.00587005481778214
"8",NA,"Underweight",NA,0.000292825768667643,0.00381652423307429,-2.57104857190806,3,2.63360299258372e-13,1.05344119703349e-12
"9",NA,NA,"No smoke",0.860598965954541,0.713073148277583,0.909917006555164,8822,3.97465652859699e-239,3.9746565285988e-239
"10",NA,NA,"Smoke",0.139401034045459,0.286926851722417,-0.909917006555164,1429,3.9746565285988e-239,3.9746565285988e-239
"11","SBP 120-129","Normal weight",NA,0.0150980392156863,0.0157745017884342,-0.0445170118280984,154,0.583485510377465,0.614195274081543
"12","SBP 120-129","Obese",NA,0.126078431372549,0.173328868099081,-0.373870258348262,1286,1.93755369060405e-36,3.22925615100674e-36
"13","SBP 120-129","Overweight",NA,0.051078431372549,0.0514086638103325,-0.00679246213214224,521,0.879952363730544,0.879952363730544
"14","SBP 120-129","Underweight",NA,0,0,-9999999,0,-9999999,-99999990
"15","SBP 130-139","Normal weight",NA,0.0188235294117647,0.0128297848364481,0.389428393411498,192,7.49467582620476e-08,9.36834478275594e-08
"16","SBP 130-139","Obese",NA,0.156764705882353,0.118266484403819,0.32644941147609,1599,2.17873148379837e-33,3.35189459045903e-33
"17","SBP 130-139","Overweight",NA,0.0776470588235294,0.0346636928503391,0.852029443489226,792,1.70912751266835e-124,4.88322146476671e-124
"18","SBP 130-139","Underweight",NA,9.80392156862745e-05,0.000304922638189638,-1.13489746557693,1,0.386795662724364,0.429772958582627
"19","SBP<120","Normal weight",NA,0.0148039215686275,0.0465156016609164,-1.17761328275423,151,3.14449377215963e-52,5.71726140392659e-52
"20","SBP<120","Obese",NA,0.0982352941176471,0.172482859768468,-0.648856114021086,1002,1.14250284352544e-87,2.53889520783431e-87
"21","SBP<120","Overweight",NA,0.0442156862745098,0.0998105729120463,-0.874121558115305,451,2.72500435181442e-78,5.45000870362884e-78
"22","SBP<120","Underweight",NA,0,0.00194282216733634,-Inf,0,-Inf,-Inf
"23","SBP>=140","Normal weight",NA,0.0351960784313725,0.0272808572975754,0.262919908890843,359,9.2350482590866e-07,1.08647626577489e-06
"24","SBP>=140","Obese",NA,0.245392156862745,0.153327407279028,0.585397888606252,2503,7.53402747933081e-147,2.51134249311027e-146
"25","SBP>=140","Overweight",NA,0.116372549019608,0.0920629604879858,0.261463476389463,1187,2.03200817766215e-17,2.70934423688286e-17
"26","SBP>=140","Underweight",NA,0.000196078431372549,0,-8888888,2,-8888888,-59259253.3333333
"27","SBP 120-129",NA,"No smoke",0.164429201371877,0.183703674201907,-0.134181551431512,1678,4.95295835381648e-07,5.40322729507253e-07
"28","SBP 120-129",NA,"Smoke",0.0279274865262126,0.0651931061165172,-0.886832771590949,285,1.66125675441527e-52,2.4918851316229e-52
"29","SBP 130-139",NA,"No smoke",0.220676139147477,0.152329416698908,0.454716200587208,2252,2.82394697725942e-82,4.84105196101615e-82
"30","SBP 130-139",NA,"Smoke",0.0326310632043116,0.0268622978961366,0.200486600941713,333,0.000312898232540885,0.000312898232540885
"31","SBP<120",NA,"No smoke",0.129152376286134,0.219779356063685,-0.641521458254388,1318,2.61070476939538e-108,5.22140953879076e-108
"32","SBP<120",NA,"Smoke",0.0281234688878001,0.108429352649906,-1.43573850489498,287,4.52765430933633e-150,1.3582962928009e-149
"33","SBP>=140",NA,"No smoke",0.345908868201862,0.164638204417105,0.98704321988025,3530,0,0
"34","SBP>=140",NA,"Smoke",0.0511513963743263,0.0790645919558355,-0.465334698441979,522,1.46742108435312e-25,1.76090530122375e-25
"35",NA,"Normal weight","Smoke",0.0177647632991703,0.0410117570074663,-0.860593889578748,182,1.8024295820369e-32,3.6048591640738e-32
"36",NA,"Normal weight","No smoke",0.0659834065397755,0.046255641774758,0.376121316646663,676,1.96569837033779e-21,3.36976863486478e-21
"37",NA,"Obese","Smoke",0.0757442654953636,0.154540198964742,-0.802199691167329,776,6.94492765766655e-108,4.16695659459993e-107
