"","Gender_D","Age_D","Race_or_Ethnicity_D","Education_D","Observed_Rate","Background_Rate","EquityValue","user_n","pValue","BH_p"
"1","Female",NA,NA,NA,0.468807146925683,0.521468497782398,-0.2108604820715,15638,1.31209532296924e-82,1.31209532296924e-82
"2","Male",NA,NA,NA,0.531192853074317,0.478531502217602,0.2108604820715,17719,1.31209532296894e-82,1.31209532296924e-82
"3",NA,"18-39",NA,NA,0,0.140826563971758,-Inf,0,-Inf,-Inf
"4",NA,"40-59",NA,NA,0.190724585544264,0.359680492667465,-0.868557705359048,6362,0,0
"5",NA,"59+",NA,NA,0.809275414455736,0.499492943360778,1.44733709759548,26995,0,0
"6",NA,NA,"Hispanic",NA,0.190125011242018,0.120951633539217,0.534251086536622,6342,0,0
"7",NA,NA,"NH Asian",NA,0.0110021884462032,0.0417316487211449,-1.36472986434134,367,2.58766075639103e-173,2.58766075639103e-173
"8",NA,NA,"NH Black",NA,0.318014209910963,0.141892432253528,1.03674745582309,10608,0,0
"9",NA,NA,"NH White",NA,0.470815720838205,0.64857923171541,-0.72966985604732,15705,0,0
"10",NA,NA,"Other",NA,0.0100428695626105,0.0468450537707002,-1.57786670211521,335,4.82149565310284e-222,6.02686956637855e-222
"11",NA,NA,NA,"<HSG",0.369724382545313,0.166183924276331,1.07951829703656,11362,0,0
"12",NA,NA,NA,">=College grad",0.0552211122319482,0.250391048470996,-1.74307778786249,1697,0,0
"13",NA,NA,NA,"HSG/GED",0.287266929159481,0.23773012427261,0.256469436600876,8828,1.6888087273683e-92,1.6888087273683e-92
"14",NA,NA,NA,"Some college/TS",0.287787576063259,0.345694902980063,-0.268136441149867,8844,4.38981217385402e-101,5.85308289847203e-101
"15","Female",NA,"Hispanic",NA,0.106484396078784,0.063086333653447,0.570921636345072,3552,3.82184638606278e-233,1.14655391581883e-232
"16","Female",NA,"NH Asian",NA,0.00476661570285098,0.0201813210983544,-1.4587306553977,159,3.62968832903566e-89,6.22232284977541e-89
"17","Female",NA,"NH Black",NA,0.172077824744431,0.0828726084576554,0.832969479009249,5740,0,0
"18","Female",NA,"NH White",NA,0.181281290283898,0.328668808198984,-0.793478641289632,6047,0,0
"19","Female",NA,"Other",NA,0.00419702011571784,0.0266594269395674,-1.8715834241733,140,4.48039826364334e-143,1.0752955832744e-142
"20","Male",NA,"Hispanic",NA,0.0836406151632341,0.0578652914926321,0.39615111843971,2790,2.11481754294201e-90,4.22963508588401e-90
"21","Male",NA,"NH Asian",NA,0.00623557274335222,0.0215503292719885,-1.25565149503475,208,1.11394130831644e-82,1.57451438756309e-82
"22","Male",NA,"NH Black",NA,0.145936385166532,0.0590198294033369,1.00221371491618,4868,0,0
"23","Male",NA,"NH White",NA,0.289534430554306,0.319910435974666,-0.1434628334466,9658,1.27210425462409e-32,1.27210425462409e-32
"24","Male",NA,"Other",NA,0.00584584944689271,0.0201856155093681,-1.25376745959747,195,2.10335271301805e-77,2.29456659601969e-77
"25","Male","18-39",NA,NA,0,0.0808870471925724,-Inf,0,-Inf,-Inf
"26","Male","40-59",NA,NA,0.0952123991965704,0.18931317668587,-0.797110888757163,3176,0,0
"27","Male","59+",NA,NA,0.435980453877747,0.20833126516612,1.07752211104838,14543,0,0
"28","Female","18-39",NA,NA,0,0.0599395167791855,-Inf,0,-Inf,-Inf
"29","Female","40-59",NA,NA,0.0955121863476931,0.170367315981595,-0.665088721559276,3186,1.54394901890398e-289,2.47031843024638e-289
"30","Female","59+",NA,NA,0.37329496057799,0.291161678194657,0.37164164329638,12452,4.24876653853042e-239,5.6650220513739e-239
"31","Female",NA,NA,"<HSG",0.190686928508672,0.0921930416565505,0.841594234937842,5860,0,0
"32","Female",NA,NA,">=College grad",0.0134717386352543,0.112444507138433,-2.2275866999481,414,0,0
"33","Female",NA,NA,"HSG/GED",0.135595978002668,0.12154898676255,0.125482216255116,4167,4.84843645920385e-14,4.84843645920385e-14
"34","Female",NA,NA,"Some college/TS",0.121278188148775,0.195325946613534,-0.56461377410684,3727,3.89719142267339e-235,7.79438284534679e-235
"35","Male",NA,NA,"<HSG",0.179037454036641,0.0739908826197805,1.00405973879766,5502,0,0
"36","Male",NA,NA,">=College grad",0.0417493735966939,0.137946541332563,-1.30097385314437,1283,0,0
"37","Male",NA,NA,"HSG/GED",0.151670951156812,0.11618113751006,0.307546420956161,4661,5.73745228274127e-84,9.56242047123545e-84
"38","Male",NA,NA,"Some college/TS",0.166509387914484,0.150368956366529,0.121139458682407,5117,2.45150586956462e-15,2.72389541062736e-15
"39",NA,"18-39","Hispanic",NA,0,0.0268323750737427,-Inf,0,-Inf,-Inf
"40",NA,"40-59","Hispanic",NA,0.0425098180291993,0.048995777039666,-0.14879601393302,1418,4.07003376815817e-08,4.07003376815817e-08
"41",NA,"59+","Hispanic",NA,0.147615193212819,0.0451234698460693,1.29875030336651,4924,0,0
"42",NA,"18-39","NH Asian",NA,0,0.00710786917338017,-Inf,0,-Inf,-Inf
"43",NA,"40-59","NH Asian",NA,0.00236831849386935,0.0140404447091698,-1.79153068226025,79,2.27504148594335e-73,3.03338864792447e-73
"44",NA,"59+","NH Asian",NA,0.00863386995233384,0.0205833353883275,-0.880915718926552,288,2.56432484419577e-53,3.01685275787737e-53
"45",NA,"18-39","NH Black",NA,0,0.0267658643969414,-Inf,0,-Inf,-Inf
"46",NA,"40-59","NH Black",NA,0.0700602572173757,0.0622419401547758,0.126698830072799,2337,3.41195265477885e-09,3.59152911029353e-09
"47",NA,"59+","NH Black",NA,0.247953952693588,0.0528846295709657,1.77575367181747,8271,0,0
"48",NA,"18-39","NH White",NA,0,0.0713009867765867,-Inf,0,-Inf,-Inf
"49",NA,"40-59","NH White",NA,0.0737476391761849,0.218434630846116,-1.25568574719944,2460,0,0
"50",NA,"59+","NH White",NA,0.39706808166202,0.358843622636467,0.162690154440389,13245,5.46052909230948e-48,6.06725454701054e-48
"51",NA,"18-39","Other",NA,0,0.00881946855110686,-Inf,0,-Inf,-Inf
"52",NA,"40-59","Other",NA,0.00203855262763438,0.0159676867446974,-2.07238295238874,68,1.4196616678547e-91,2.02808809693529e-91
"53",NA,"59+","Other",NA,0.00800431693497617,0.0220578990919877,-1.02795804896476,267,2.18308088189141e-68,2.72885110236426e-68
"54",NA,NA,"Hispanic","<HSG",0.104519865933422,0.0553810153251944,0.68856192489602,3212,0,0
"55",NA,NA,"Hispanic",">=College grad",0.00455566040805701,0.0140276480492543,-1.13422063363399,140,2.89980451730187e-45,4.02750627403037e-45
"56",NA,NA,"Hispanic","HSG/GED",0.0372913344830952,0.0233555840656809,0.482296671121733,1146,7.52043083242226e-59,1.10594571065033e-58
