"","Gender_D","Age_D","Race_or_Ethnicity_D","Education_D","Observed_Rate","Background_Rate","EquityValue","user_n","pValue","BH_p"
"1","Female",NA,NA,NA,0.355944877684008,0.521468497782398,-0.678935256800562,3332,1.63762967364199e-225,1.63762967364199e-225
"2","Male",NA,NA,NA,0.644055122315992,0.478531502217602,0.678935256800563,6029,1.63762967364124e-225,1.63762967364199e-225
"3",NA,"18-39",NA,NA,0,0.140826563971758,-Inf,0,-Inf,-Inf
"4",NA,"40-59",NA,NA,0.211088558914646,0.359680492667465,-0.741625151673418,1976,3.55775758898937e-197,3.55775758898937e-197
"5",NA,"59+",NA,NA,0.788911441085354,0.499492943360778,1.32040454390985,7385,0,0
"6",NA,NA,"Hispanic",NA,0.105280034202651,0.120951633539217,-0.156437811771472,985,3.33779782884099e-06,3.33779782884099e-06
"7",NA,NA,"NH Asian",NA,0.00844377939290295,0.0417316487211449,-1.63197759335953,79,2.50727485448989e-58,4.17879142414981e-58
"8",NA,NA,"NH Black",NA,0.300769559640872,0.141892432253528,0.956024240342492,2814,0,0
"9",NA,NA,"NH White",NA,0.57823856348867,0.64857923171541,-0.297253212372662,5410,4.39623960744694e-46,5.49529950930867e-46
"10",NA,NA,"Other",NA,0.00726806327490381,0.0468450537707002,-1.90403876715012,68,2.36156455962936e-73,5.9039113990734e-73
"11",NA,NA,NA,"<HSG",0.0191546281433922,0.166183924276331,-2.32295276646658,179,0,0
"12",NA,NA,NA,">=College grad",0.399571963616907,0.250391048470996,0.689278871275351,3734,5.93192465198715e-243,1.18638493039743e-242
"13",NA,NA,NA,"HSG/GED",0.162653825575174,0.23773012427261,-0.473448839619587,1520,3.56255629273663e-65,4.75007505698218e-65
"14",NA,NA,NA,"Some college/TS",0.418619582664526,0.345694902980063,0.309574433720066,3912,1.04486327822496e-49,1.04486327822496e-49
"15","Female",NA,"Hispanic",NA,0.0484181274048739,0.063086333653447,-0.280164476203598,453,5.35145996022172e-09,5.83795632024188e-09
"16","Female",NA,"NH Asian",NA,0.0029927319367251,0.0201813210983544,-1.92596134390684,28,2.95929276087608e-32,4.43893914131413e-32
"17","Female",NA,"NH Black",NA,0.136383069687901,0.0828726084576554,0.558280106205024,1276,1.22581351869707e-78,2.45162703739414e-78
"18","Female",NA,"NH White",NA,0.166203505771697,0.328668808198984,-0.898564372070073,1555,2.19370612448195e-245,1.31622367468917e-244
"19","Female",NA,"Other",NA,0.00203078238563489,0.0266594269395674,-2.59971007605468,19,1.73461002480154e-49,2.97361718537406e-49
"20","Male",NA,"Hispanic",NA,0.0568619067977768,0.0578652914926321,-0.0185565533250007,532,0.677652671289389,0.677652671289389
"21","Male",NA,"NH Asian",NA,0.00545104745617785,0.0215503292719885,-1.3909032818416,51,7.85612152656038e-27,1.04748287020805e-26
"22","Male",NA,"NH Black",NA,0.164386489952971,0.0590198294033369,1.14310269136228,1538,0,0
"23","Male",NA,"NH White",NA,0.412035057716973,0.319910435974666,0.398624545382085,3855,2.34011760604897e-81,5.61628225451753e-81
"24","Male",NA,"Other",NA,0.00523728088926892,0.0201856155093681,-1.36430888317498,49,8.56290459997611e-25,1.02754855199713e-24
"25","Male","18-39",NA,NA,0,0.0808870471925724,-Inf,0,-Inf,-Inf
"26","Male","40-59",NA,NA,0.141865185343446,0.18931317668587,-0.345404850962543,1328,1.02798712879012e-31,1.17484243290299e-31
"27","Male","59+",NA,NA,0.502189936972546,0.20833126516612,1.34377341030701,4701,0,0
"28","Female","18-39",NA,NA,0,0.0599395167791855,-Inf,0,-Inf,-Inf
"29","Female","40-59",NA,NA,0.0692233735711997,0.170367315981595,-1.01565448079569,648,2.29939552934632e-149,3.06586070579509e-149
"30","Female","59+",NA,NA,0.286721504112808,0.291161678194657,-0.0216118102407493,2684,0.344338251476729,0.344338251476729
"31","Female",NA,NA,"<HSG",0.0092027822364901,0.0921930416565505,-2.39185693675142,86,2.92546716792046e-169,5.85093433584092e-169
"32","Female",NA,NA,">=College grad",0.121669341894061,0.112444507138433,0.0892951428365083,1137,0.00476050443267955,0.00476050443267955
"33","Female",NA,NA,"HSG/GED",0.0639914392723381,0.12154898676255,-0.705032529975957,598,5.11251517968803e-65,7.30359311384005e-65
"34","Female",NA,NA,"Some college/TS",0.160513643659711,0.195325946613534,-0.238643669501168,1500,2.0926892296832e-17,2.615861537104e-17
"35","Male",NA,NA,"<HSG",0.00995184590690209,0.0739908826197805,-2.07305332739006,93,1.17036353167293e-123,1.95060588612155e-123
"36","Male",NA,NA,">=College grad",0.277902621722846,0.137946541332563,0.877561825295735,2597,0,0
"37","Male",NA,NA,"HSG/GED",0.0986623863028357,0.11618113751006,-0.183074483247803,922,1.25718453258034e-07,1.39687170286705e-07
"38","Male",NA,NA,"Some college/TS",0.258105939004815,0.150368956366529,0.675873864767918,2412,1.18462807153273e-186,2.96157017883181e-186
"39",NA,"18-39","Hispanic",NA,0,0.0268323750737427,-Inf,0,-Inf,-Inf
"40",NA,"40-59","Hispanic",NA,0.0319581017528858,0.048995777039666,-0.445065253434298,299,2.26565635524021e-14,2.38490142656865e-14
"41",NA,"59+","Hispanic",NA,0.0733219324497649,0.0451234698460693,0.515433095426975,686,1.94201988181335e-39,2.77431411687621e-39
"42",NA,"18-39","NH Asian",NA,0,0.00710786917338017,-Inf,0,-Inf,-Inf
"43",NA,"40-59","NH Asian",NA,0.00106883283454468,0.0140404447091698,-2.58844536801815,10,1.5004619512726e-26,1.87557743909075e-26
"44",NA,"59+","NH Asian",NA,0.00737494655835827,0.0205833353883275,-1.03978897960982,69,2.29548561070771e-19,2.55053956745301e-19
"45",NA,"18-39","NH Black",NA,0,0.0267658643969414,-Inf,0,-Inf,-Inf
"46",NA,"40-59","NH Black",NA,0.103997434801197,0.0622419401547758,0.558885889812618,973,9.77059081092819e-63,1.7764710565324e-62
"47",NA,"59+","NH Black",NA,0.196772124839675,0.0528846295709657,1.47871605175619,1841,0,0
"48",NA,"18-39","NH White",NA,0,0.0713009867765867,-Inf,0,-Inf,-Inf
"49",NA,"40-59","NH White",NA,0.0716117999144934,0.218434630846116,-1.28737810604169,670,6.78247792596052e-259,1.69561948149013e-258
